experiment_name,method,num_clusters,clustering_method,high_percentile,low_percentile,tops_window,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,cost_Coal,cost_Gas,cost_Nuclear,cost_OCGT,cost_Solar,cost_Wind_Offshore,cost_Wind_Onshore,capacity_Battery,capacity_Coal,capacity_Gas,capacity_Nuclear,capacity_OCGT,capacity_Solar,capacity_Wind_Offshore,capacity_Wind_Onshore
ward_k4600_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4600,perlocation,0.95,0.05,5,6.108916986291858e6,4.0464878505869284e6,2348.808257638208,2267.7210253595417,0.0,0.0,982719.9049625138,0.0,1.0797092307424168e6,747290.0903193321,356823.7974677914,2.9423739627998048e6,0.0,0.0,73.7706396638302,0.0,7.31659261483566,1021.9468518568643,186.92659959008915,1058.8475739125884
ward_k4800_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4800,perlocation,0.95,0.05,5,6.113857341948716e6,4.0502120185363293e6,2348.599830093242,2267.6137630983453,0.0,0.0,984736.7972638152,0.0,1.0789085261485716e6,748438.9274180742,360149.77396220615,2.941623317156049e6,0.0,0.0,73.68586698683649,0.0,7.30020000805985,1022.245673224605,188.24194727376718,1057.1261425999735
ward_k5000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,5000,perlocation,0.95,0.05,5,6.126329995914701e6,4.0564428544654334e6,2349.162559295621,2268.233553668971,0.0,0.0,990578.8054853338,0.0,1.0793083359639337e6,747846.8655346564,360072.93822722393,2.948523050703553e6,0.0,0.0,73.62062042127965,0.0,7.3083852053707155,1022.9162089885557,188.06616589761973,1057.2511787827957
ward_k500_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,500,perlocation,0.95,0.05,5,8.529056072777808e6,5.168675751061671e6,1952.126737401603,1815.7472034767227,0.0,147831.98607465628,1.2437760845165576e6,787446.789097015,1.1813254620279076e6,394761.69692324626,1.0770953664152143e6,3.696818687723211e6,0.0,0.8785443743865287,108.11898245828483,13.262261711107621,14.119745381101112,356.0731921001129,293.0909101124432,1166.5831012641665
ward_k6000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,6000,perlocation,0.95,0.05,5,6.1249926210057875e6,4.0552412226260914e6,2362.873907064213,2282.074595487869,0.0,0.0,971097.2606240577,0.0,1.0986541377556378e6,757853.589421701,347303.6794850347,2.9500839537193556e6,0.0,0.0,73.09486504701998,0.0,7.704446529324512,1045.591694532842,177.06082330087767,1059.4220776541492
ward_k600_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,600,perlocation,0.95,0.05,5,8.433706045331245e6,5.120057693252883e6,2110.5595156032655,1986.0412069319896,0.0,150455.8654189222,1.1301367770955376e6,1.0220018623514996e6,1.0110538472124031e6,555137.127104736,892840.9984737706,3.672079567674376e6,0.0,0.8941377144895948,96.066999322616,17.21266294486736,10.344508689302609,549.1192822695845,253.1444408843577,1183.7774837780476
ward_k7000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,7000,perlocation,0.95,0.05,5,6.129747838994409e6,4.0496897964440696e6,2362.7214563566754,2282.134261575898,0.0,0.0,980825.1552947717,0.0,1.099232887255568e6,760108.5708838449,347225.327825618,2.9423558977346066e6,0.0,0.0,72.87089967078124,0.0,7.716295109995814,1045.8017518163851,176.94609477558623,1059.386414983927
ward_k700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,700,perlocation,0.95,0.05,5,8.022670809269813e6,4.408540315409645e6,2162.172915947545,2051.2924633945277,0.0,155731.0898794613,1.4279389108807202e6,1.0577155787628924e6,972744.9143370938,609782.7884212435,650485.4068025794,3.1482721201858222e6,0.0,0.9254876198550843,84.50120053180497,17.81415711600661,7.639607285350813,691.3334098241189,258.3163471162871,1101.6427064541215
ward_k8000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,8000,perlocation,0.95,0.05,5,6.141096245910748e6,4.0641040020367447e6,2361.4244396862528,2281.4608417814657,0.0,0.0,976992.2438740028,0.0,1.1e6,767881.750714988,356679.23352563905,2.939543017796118e6,0.0,0.0,72.2315979047873,0.0,7.732000000000001,1045.685083673436,177.43730257865207,1058.3384555293771
ward_k800_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,800,perlocation,0.95,0.05,5,6.502603541137008e6,4.245051026019006e6,2387.5159180626238,2299.0362867942163,0.0,126743.7553197398,1.0308087597982625e6,0.0,1.1e6,813952.2854902565,491667.1651337482,2.939431575395001e6,0.0,0.7532200316144537,79.99441123679267,0.0,7.732000000000001,1016.4450767170669,226.32511380652744,1056.266096270622
