from_asset,to_asset,carrier,capacity,is_transport
LU_E_Balance,LU_electrolyzer,electricity,,
LU_E_ENS,LU_E_Demand,electricity,,
LU_Hydro,LU_E_Balance,electricity,,
LU_Pump_Hydro_Closed,LU_E_Balance,electricity,,
LU_Solar,LU_E_Balance,electricity,,
LU_Wind_Onshore,LU_E_Balance,electricity,,
LU_electrolyzer,LU_H_Demand,hydrogen,,
LV_Battery,LV_E_Balance,electricity,,
LV_E_Balance,LT_E_Balance,electricity,1,true
LV_E_Balance,LV_E_Demand,electricity,,
LV_E_Balance,LV_electrolyzer,electricity,,
LV_E_ENS,LV_E_Demand,electricity,,
LV_Gas,LV_E_Balance,electricity,,
LV_Hydro,LV_E_Balance,electricity,,
LV_Solar,LV_E_Balance,electricity,,
LV_Wind_Offshore,LV_E_Balance,electricity,,
LV_Wind_Onshore,LV_E_Balance,electricity,,
LV_electrolyzer,LV_H_Demand,hydrogen,,
MT_E_Balance,IT_E_Balance,electricity,1,true
MT_E_Balance,MT_E_Demand,electricity,,
MT_E_Balance,MT_electrolyzer,electricity,,
MT_E_ENS,MT_E_Demand,electricity,,
MT_Gas,MT_E_Balance,electricity,,
MT_Solar,MT_E_Balance,electricity,,
MT_electrolyzer,MT_H_Demand,hydrogen,,
NL_Battery,NL_E_Balance,electricity,,
NL_E_Balance,BE_E_Balance,electricity,1,true
NL_E_Balance,NL_Battery,electricity,,
NL_E_Balance,NL_E_Demand,electricity,,
NL_E_Balance,NL_electrolyzer,electricity,,
NL_E_ENS,NL_E_Demand,electricity,,
NL_Gas,NL_E_Balance,electricity,,
NL_OCGT,NL_E_Balance,electricity,,
NL_Solar,NL_E_Balance,electricity,,
NL_Wind_Offshore,NL_E_Balance,electricity,,
NL_Wind_Onshore,NL_E_Balance,electricity,,
NL_electrolyzer,NL_H_Demand,hydrogen,,
NO_E_Balance,DE_E_Balance,electricity,1,true
NO_E_Balance,DK_E_Balance,electricity,1,true
NO_E_Balance,NL_E_Balance,electricity,1,true
NO_E_Balance,NO_E_Demand,electricity,,
NO_E_Balance,NO_Pump_Hydro_Open,electricity,,
NO_E_Balance,NO_electrolyzer,electricity,,
NO_E_Balance,SE_E_Balance,electricity,1,true
NO_E_Balance,UK_E_Balance,electricity,1,true
NO_E_ENS,NO_E_Demand,electricity,,
NO_Hydro_Reservoir,NO_E_Balance,electricity,,
NO_Pump_Hydro_Open,NO_E_Balance,electricity,,
NO_Solar,NO_E_Balance,electricity,,
NO_Wind_Offshore,NO_E_Balance,electricity,,
NO_Wind_Onshore,NO_E_Balance,electricity,,
NO_electrolyzer,NO_H_Demand,hydrogen,,
OBZLL_E_Balance,NL_E_Balance,electricity,1,true
OBZLL_E_Balance,OBZLL_E_Demand,electricity,,
OBZLL_E_Balance,OBZLL_electrolyzer,electricity,,
OBZLL_E_Balance,UK_E_Balance,electricity,1,true
OBZLL_Wind_Offshore,OBZLL_E_Balance,electricity,,
OBZLL_electrolyzer,OBZLL_H_Demand,hydrogen,,
PL_Coal,PL_E_Balance,electricity,,
PL_E_Balance,CZ_E_Balance,electricity,1,true
PL_E_Balance,DE_E_Balance,electricity,1,true
PL_E_Balance,DK_E_Balance,electricity,1,true
PL_E_Balance,PL_E_Demand,electricity,,
PL_E_Balance,PL_Pump_Hydro_Closed,electricity,,
PL_E_Balance,PL_Pump_Hydro_Open,electricity,,
PL_E_Balance,PL_electrolyzer,electricity,,
PL_E_ENS,PL_E_Demand,electricity,,
PL_Gas,PL_E_Balance,electricity,,
PL_Hydro,PL_E_Balance,electricity,,
PL_Hydro_Reservoir,PL_E_Balance,electricity,,
PL_Pump_Hydro_Closed,PL_E_Balance,electricity,,
PL_Pump_Hydro_Open,PL_E_Balance,electricity,,
PL_Solar,PL_E_Balance,electricity,,
PL_Wind_Offshore,PL_E_Balance,electricity,,
PL_Wind_Onshore,PL_E_Balance,electricity,,
PL_electrolyzer,PL_H_Demand,hydrogen,,
PT_Battery,PT_E_Balance,electricity,,
PT_E_Balance,ES_E_Balance,electricity,1,true
PT_E_Balance,PT_E_Demand,electricity,,
PT_E_Balance,PT_Pump_Hydro_Open,electricity,,
PT_E_Balance,PT_electrolyzer,electricity,,
PT_E_ENS,PT_E_Demand,electricity,,
PT_Gas,PT_E_Balance,electricity,,
PT_Hydro,PT_E_Balance,electricity,,
PT_Hydro_Reservoir,PT_E_Balance,electricity,,
PT_Pump_Hydro_Open,PT_E_Balance,electricity,,
PT_Solar,PT_E_Balance,electricity,,
PT_Wind_Offshore,PT_E_Balance,electricity,,
PT_Wind_Onshore,PT_E_Balance,electricity,,
PT_electrolyzer,PT_H_Demand,hydrogen,,
RO_Battery,RO_E_Balance,electricity,,
RO_Coal,RO_E_Balance,electricity,,
RO_E_Balance,BG_E_Balance,electricity,1,true
RO_E_Balance,HU_E_Balance,electricity,1,true
RO_E_Balance,RO_Battery,electricity,,
RO_E_Balance,RO_E_Demand,electricity,,
RO_E_Balance,RO_Pump_Hydro_Open,electricity,,
RO_E_Balance,RO_electrolyzer,electricity,,
RO_E_ENS,RO_E_Demand,electricity,,
RO_Gas,RO_E_Balance,electricity,,
RO_Hydro,RO_E_Balance,electricity,,
RO_Hydro_Reservoir,RO_E_Balance,electricity,,
RO_Nuclear,RO_E_Balance,electricity,,
RO_OCGT,RO_E_Balance,electricity,,
RO_Pump_Hydro_Open,RO_E_Balance,electricity,,
RO_Solar,RO_E_Balance,electricity,,
RO_Wind_Offshore,RO_E_Balance,electricity,,
RO_Wind_Onshore,RO_E_Balance,electricity,,
RO_electrolyzer,RO_H_Demand,hydrogen,,
SE_Battery,SE_E_Balance,electricity,,
SE_E_Balance,DE_E_Balance,electricity,1,true
SE_E_Balance,DK_E_Balance,electricity,1,true
SE_E_Balance,PL_E_Balance,electricity,1,true
SE_E_Balance,SE_Battery,electricity,,
SE_E_Balance,SE_E_Demand,electricity,,
SE_E_Balance,SE_electrolyzer,electricity,,
SE_E_ENS,SE_E_Demand,electricity,,
SE_Gas,SE_E_Balance,electricity,,
SE_Hydro_Reservoir,SE_E_Balance,electricity,,
SE_Nuclear,SE_E_Balance,electricity,,
SE_OCGT,SE_E_Balance,electricity,,
SE_Solar,SE_E_Balance,electricity,,
SE_Wind_Offshore,SE_E_Balance,electricity,,
SE_Wind_Onshore,SE_E_Balance,electricity,,
SE_electrolyzer,SE_H_Demand,hydrogen,,
SI_Battery,SI_E_Balance,electricity,,
SI_Coal,SI_E_Balance,electricity,,
SI_E_Balance,AT_E_Balance,electricity,1,true
SI_E_Balance,IT_E_Balance,electricity,1,true
SI_E_Balance,SI_Battery,electricity,,
SI_E_Balance,SI_E_Demand,electricity,,
SI_E_Balance,SI_Pump_Hydro_Closed,electricity,,
SI_E_Balance,SI_electrolyzer,electricity,,
SI_E_ENS,SI_E_Demand,electricity,,
SI_Gas,SI_E_Balance,electricity,,
SI_Hydro,SI_E_Balance,electricity,,
SI_Nuclear,SI_E_Balance,electricity,,
SI_OCGT,SI_E_Balance,electricity,,
SI_Pump_Hydro_Closed,SI_E_Balance,electricity,,
SI_Solar,SI_E_Balance,electricity,,
SI_Wind_Offshore,SI_E_Balance,electricity,,
SI_Wind_Onshore,SI_E_Balance,electricity,,
SI_electrolyzer,SI_H_Demand,hydrogen,,
SK_Battery,SK_E_Balance,electricity,,
SK_Coal,SK_E_Balance,electricity,,
SK_E_Balance,CZ_E_Balance,electricity,1,true
SK_E_Balance,HU_E_Balance,electricity,1,true
SK_E_Balance,PL_E_Balance,electricity,1,true
SK_E_Balance,SK_E_Demand,electricity,,
SK_E_Balance,SK_Pump_Hydro_Closed,electricity,,
SK_E_Balance,SK_Pump_Hydro_Open,electricity,,
SK_E_Balance,SK_electrolyzer,electricity,,
SK_E_ENS,SK_E_Demand,electricity,,
SK_Gas,SK_E_Balance,electricity,,
SK_Hydro,SK_E_Balance,electricity,,
SK_Hydro_Reservoir,SK_E_Balance,electricity,,
SK_Nuclear,SK_E_Balance,electricity,,
SK_Pump_Hydro_Closed,SK_E_Balance,electricity,,
SK_Pump_Hydro_Open,SK_E_Balance,electricity,,
SK_Solar,SK_E_Balance,electricity,,
SK_Wind_Onshore,SK_E_Balance,electricity,,
SK_electrolyzer,SK_H_Demand,hydrogen,,
UK_Battery,UK_E_Balance,electricity,,
UK_E_Balance,BE_E_Balance,electricity,1,true
UK_E_Balance,DK_E_Balance,electricity,1,true
UK_E_Balance,FR_E_Balance,electricity,1,true
UK_E_Balance,NL_E_Balance,electricity,1,true
UK_E_Balance,UK_Battery,electricity,,
UK_E_Balance,UK_E_Demand,electricity,,
UK_E_Balance,UK_Pump_Hydro_Closed,electricity,,
UK_E_Balance,UK_electrolyzer,electricity,,
UK_E_ENS,UK_E_Demand,electricity,,
UK_Gas,UK_E_Balance,electricity,,
UK_Hydro,UK_E_Balance,electricity,,
UK_Nuclear,UK_E_Balance,electricity,,
UK_OCGT,UK_E_Balance,electricity,,
UK_Pump_Hydro_Closed,UK_E_Balance,electricity,,
UK_Solar,UK_E_Balance,electricity,,
UK_Wind_Offshore,UK_E_Balance,electricity,,
UK_Wind_Onshore,UK_E_Balance,electricity,,
UK_electrolyzer,UK_H_Demand,hydrogen,,
